ID,name,Centroid X,Centroid Y
153,Zawara,-2.692545923,11.76179798
154,Bieha,-1.768031819,11.17396881
155,Boura,-2.464577621,11.11751638
156,Léo,-2.10470273,11.08785393
157,Nébiélianayou,-2.347282178,11.82312892
158,Niabouri,-2.623664956,11.27226892
159,Silly,-2.490978516,11.59029093
160,To,-2.263768949,11.3577188
161,Bakata,-1.865643977,11.80527037
162,Bougnounou,-2.088465391,11.87365277
163,Kassou,-2.003836529,11.51875809
164,Dalô,-2.15427498,11.7714307
165,Gaô,-2.23237995,11.62397089
166,Sapouy,-1.649042799,11.57171036
167,Doulougou,-1.476462177,11.90993789
168,Gaongo,-1.119299701,12.05402099
169,Ipelsé,-1.595345765,11.90193973
170,Kayao,-1.862964278,12.03182454
171,Kombissiri,-1.336525427,11.98407495
172,Saponé,-1.573857166,12.04076115
173,Toécé,-1.332607835,11.78155161
174,Guiaro,-1.422811231,11.29549735
175,Po,-1.156113758,11.17449299
176,Tiébélé,-0.938263187,11.09372974
177,Zecco,-0.870262119,11.02187376
178,Ziou,-0.780037142,11.06959074
179,Béré,-1.067008053,11.90171108
180,Bindé,-0.976518989,11.79502255
181,Gogo,-0.922907539,11.48635471
182,Gomboussougou,-0.74472941,11.38955784
183,Guiba,-1.142423557,11.63305683
184,Manga,-1.054549487,11.64573335
185,Nobéré,-1.223891294,11.58733238
186,Bilanga,0.13901219,12.52901134
187,Bogandé,-0.048380949,12.94856409
188,Koala,-0.041856262,13.42698633
189,Liptougou,0.343340715,13.08546723
190,Mani,-0.073619404,13.18732561
191,Piéla,-0.023685085,12.73532356
192,Thion,-0.307954224,13.05673992
193,Diabo,0.004811912,11.9616281
194,Diapangou,0.180463811,12.10445943
195,Fada-Ngourma,0.499181591,11.94001973
196,Matiakoali,1.030305266,12.26624717
197,Tibga,0.067375798,12.27241886
198,Yamba,0.426086579,12.28967303
199,Bartiébougou,0.80588522,12.86712569
200,Foutouri,1.089677552,12.87204253
201,Gayéri,0.575924251,12.66077374
202,Kompienga,0.614855197,11.06318023
203,Madjoari,1.183744698,11.38867284
204,Pama,0.84806567,11.48990509
205,Botou,2.008257022,12.48712413
206,Diapaga,2.037071703,11.9857378
207,Kantchari,1.478385052,12.46302009
208,Lôgbou,1.670669663,11.57360773
209,Namouno,1.614219963,11.83457087
210,Partiaga,1.474358554,11.9638097
211,Tambaga,1.550154273,11.75756184
212,Tansarga,1.949288083,11.79903879
213,Bama,-4.395762884,11.43213111
214,Bobo-Dioulasso,-4.274832209,11.18491176
215,Dandé,-4.525485303,11.59404136
216,Faramana,-4.557830347,12.03471927
217,Fo,-4.546113987,11.89718046
218,Karangasso-Sambla,-4.653174485,11.24885135
219,Karangasso-Vigué,-3.908698964,10.94243155
220,Koundougou,-4.508820514,11.71670157
221,Lèna,-3.958780736,11.26159391
222,Padéma,-4.194334907,11.76692586
223,Péni,-4.346633227,10.89984416
224,Satiri,-4.050639604,11.55840906
225,Toussiana,-4.649598107,10.90159686
226,Banzon,-4.829185757,11.28088241
227,Djigouèra,-4.919965457,11.16541421
228,Kangala,-5.21689697,11.00775256
229,Kayan,-4.716663531,11.85707487
230,Kôlôkô,-5.252947854,11.17956462
231,Kourinion,-4.778106996,11.02563278
232,Kourouma,-4.740112559,11.56084752
233,Morlaba,-5.12348724,11.82353021
234,Ndôrôla,-4.886620685,11.82595653
235,Orodara,-4.976176934,10.98588732
236,Samôgôyiri,-5.103379684,10.93582854
237,Samôgôgouan,-4.970478986,11.42779468
238,Sindo,-5.154841834,11.5278757
239,Békui,-3.882493162,11.65921314
240,Béréba,-3.69432306,11.64377476
241,Boni,-3.398504924,11.5092593
242,Founzan,-3.272561327,11.3698183
243,Houndé,-3.625837924,11.49741261
244,Koti,-2.96861404,11.43274436
245,Koumbia,-3.641913709,11.22232187
246,Bahn,-2.426961425,14.1261384
247,Ouindigui,-1.909819964,13.70223819
248,Sollé,-2.161304286,14.08831197
249,Titao,-2.082632012,13.85554987
250,Arbollé,-2.019412782,12.84047525
251,Bagaré,-2.635512815,12.89095258
252,Boken,-1.746732194,13.00832407
253,Gomponsom,-2.166429955,13.03009302
254,Kirsi,-1.964815772,12.99604926
255,La-Toden,-2.452387794,12.85865278
256,Pilimpikou,-2.191881158,12.73962946
257,Samba,-2.397879973,12.71104711
258,Yako,-2.283978306,12.91807264
259,Barga,-2.314842197,13.78470856
260,Kaïn,-2.737834301,13.97276917
261,Kalsaka,-2.007068084,13.16139866
262,Kossouka,-1.893681499,13.34757435
263,Koumbri,-2.436853048,13.85778778
264,Namissiguima,-2.244296648,13.6329272
265,Ouahigouya,-2.43227719,13.58954916
266,Oula,-2.255954908,13.45038169
267,Rambo,-1.814815263,13.21216126
268,Senguènèga,-2.002715675,13.44191038
269,Tangaye,-2.628483333,13.57297308
270,Thiou,-2.711445706,13.74548877
271,Zogoré,-2.577559749,13.41093825
272,Bassi,-2.217610737,13.31354688
273,Boussou,-2.552932165,13.05182949
274,Goursi,-2.388558193,13.2136976
275,Lèba,-2.394473933,13.36304411
